experience_level,employment_type,job_title,salary_in_usd,employee_residence,work_setting,company_location,company_size,job_category
Entry-level,Freelance,"Applied Data Scientist",30000,"United Kingdom",Remote,"United Kingdom",M,"Data Science and Research"
Executive,Full-time,"Business Intelligence",230000,"United States",In-person,"United States",M,"BI and Visualization"
Executive,Full-time,"Business Intelligence",176900,"United States",In-person,"United States",M,"BI and Visualization"
Senior,Full-time,"Data Architect",171210,Canada,In-person,Canada,M,"Data Architecture and Modeling"
Senior,Full-time,"Data Architect",92190,Canada,In-person,Canada,M,"Data Architecture and Modeling"
Mid-level,Full-time,"Data Science",57753,"United Kingdom",In-person,"United Kingdom",M,"Data Science and Research"
Mid-level,Full-time,"Data Science",47850,"United Kingdom",In-person,"United Kingdom",M,"Data Science and Research"
Entry-level,Full-time,"Insight Analyst",50000,"United States",Remote,"United States",M,"Data Analysis"
Entry-level,Full-time,"Insight Analyst",40000,"United States",Remote,"United States",M,"Data Analysis"
Senior,Full-time,"Data Engineer",276000,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Data Engineer",148000,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Research Scientist",234000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Research Scientist",146000,"United States",In-person,"United States",M,"Data Science and Research"
Entry-level,Full-time,"Business Intelligence Analyst",192300,"United States",In-person,"United States",M,"BI and Visualization"
Entry-level,Full-time,"Business Intelligence Analyst",120200,"United States",In-person,"United States",M,"BI and Visualization"
Entry-level,Full-time,"Analytics Engineer",132500,"United States",In-person,"United States",M,"Leadership and Management"
Entry-level,Full-time,"Analytics Engineer",111500,"United States",In-person,"United States",M,"Leadership and Management"
Entry-level,Full-time,"Data Engineer",234000,"United States",In-person,"United States",M,"Data Engineering"
Entry-level,Full-time,"Data Engineer",146000,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Data Scientist",322000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Scientist",168000,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Scientist",152000,Canada,In-person,Canada,M,"Data Science and Research"
Mid-level,Full-time,"Data Scientist",98000,Canada,In-person,Canada,M,"Data Science and Research"
Senior,Full-time,"Research Engineer",138000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Research Engineer",86000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Science",268700,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Science",130300,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"BI Developer",75000,"United Kingdom",In-person,"United Kingdom",M,"BI and Visualization"
Senior,Full-time,"BI Developer",50000,"United Kingdom",In-person,"United Kingdom",M,"BI and Visualization"
Senior,Full-time,"Data Analyst",115000,"United States",In-person,"United States",M,"Data Analysis"
Senior,Full-time,"Data Analyst",105000,"United States",In-person,"United States",M,"Data Analysis"
Senior,Full-time,"Data Scientist",100000,"United Kingdom",In-person,"United Kingdom",M,"Data Science and Research"
Senior,Full-time,"Data Scientist",87500,"United Kingdom",In-person,"United Kingdom",M,"Data Science and Research"
Senior,Full-time,"Business Intelligence Engineer",156476,"United States",Remote,"United States",M,"BI and Visualization"
Senior,Full-time,"Business Intelligence Engineer",104981,"United States",Remote,"United States",M,"BI and Visualization"
Mid-level,Full-time,"Data Engineer",146000,"United States",Remote,"United States",M,"Data Engineering"
Mid-level,Full-time,"Data Engineer",110000,"United States",Remote,"United States",M,"Data Engineering"
Senior,Full-time,"Data Scientist",297000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Scientist",138000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Quality Engineer",190000,"United States",In-person,"United States",M,"Data Quality and Operations"
Senior,Full-time,"Data Quality Engineer",25000,"United States",In-person,"United States",M,"Data Quality and Operations"
Mid-level,Full-time,"Machine Learning Engineer",160480,"United States",In-person,"United States",M,"Machine Learning and AI"
Mid-level,Full-time,"Machine Learning Engineer",109920,"United States",In-person,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Data Engineer",224000,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Data Engineer",150000,"United States",In-person,"United States",M,"Data Engineering"
Entry-level,Full-time,"Data Analyst",84000,"United States",In-person,"United States",M,"Data Analysis"
Entry-level,Full-time,"Data Analyst",75800,"United States",In-person,"United States",M,"Data Analysis"
Mid-level,Full-time,"Cloud Database Engineer",146125,"United States",Remote,"United States",M,"Cloud and Database"
Mid-level,Full-time,"Cloud Database Engineer",82000,"United States",Remote,"United States",M,"Cloud and Database"
Mid-level,Full-time,"Business Intelligence",207600,"United States",In-person,"United States",M,"BI and Visualization"
Mid-level,Full-time,"Business Intelligence",138400,"United States",In-person,"United States",M,"BI and Visualization"
Entry-level,Full-time,"Data Analyst",94600,"United States",In-person,"United States",M,"Data Analysis"
Entry-level,Full-time,"Data Analyst",75700,"United States",In-person,"United States",M,"Data Analysis"
Senior,Full-time,"Data Science",331292,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Science",244868,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Scientist",190000,"United States",Remote,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Scientist",155000,"United States",Remote,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Engineer",168000,"United States",In-person,"United States",M,"Data Engineering"
Mid-level,Full-time,"Data Engineer",158000,"United States",In-person,"United States",M,"Data Engineering"
Executive,Full-time,"Head of Data",243000,"United States",In-person,"United States",M,"Leadership and Management"
Executive,Full-time,"Head of Data",163000,"United States",In-person,"United States",M,"Leadership and Management"
Senior,Full-time,"Data Scientist",170000,"United States",Remote,"United States",M,"Data Science and Research"
Senior,Full-time,"Machine Learning Engineer",125333,Lithuania,In-person,Lithuania,M,"Machine Learning and AI"
Senior,Full-time,"Machine Learning Engineer",81333,Lithuania,In-person,Lithuania,M,"Machine Learning and AI"
Senior,Full-time,"Business Intelligence",192500,"United States",In-person,"United States",M,"BI and Visualization"
Senior,Full-time,"Business Intelligence",134900,"United States",In-person,"United States",M,"BI and Visualization"
Senior,Full-time,"Data Scientist",227000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Scientist",192780,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"BI Analyst",85000,"United States",Remote,"United States",M,"BI and Visualization"
Mid-level,Full-time,"BI Analyst",70000,"United States",Remote,"United States",M,"BI and Visualization"
Senior,Full-time,"Analytics Engineer",180000,"United States",In-person,"United States",M,"Leadership and Management"
Senior,Full-time,"Analytics Engineer",112000,"United States",In-person,"United States",M,"Leadership and Management"
Senior,Full-time,"Data Engineer",130000,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Data Engineer",100000,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Data Engineer",140000,"United States",Remote,"United States",M,"Data Engineering"
Senior,Full-time,"Data Engineer",100000,"United States",Remote,"United States",M,"Data Engineering"
Mid-level,Full-time,"Data Scientist",175000,"United States",Remote,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Scientist",135000,"United States",Remote,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Manager",110000,"United States",In-person,"United States",M,"Leadership and Management"
Mid-level,Full-time,"Data Manager",70000,"United States",In-person,"United States",M,"Leadership and Management"
Senior,Full-time,"Computational Biologist",236000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Computational Biologist",174000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Computational Biologist",186153,Canada,In-person,Canada,M,"Data Science and Research"
Senior,Full-time,"Computational Biologist",165384,Canada,In-person,Canada,M,"Data Science and Research"
Senior,Full-time,"Data Architect",363000,"United States",In-person,"United States",M,"Data Architecture and Modeling"
Senior,Full-time,"Data Architect",139800,"United States",In-person,"United States",M,"Data Architecture and Modeling"
Senior,Full-time,"Research Scientist",345000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Research Scientist",180000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Analytics Engineer",170000,"United States",Remote,"United States",M,"Leadership and Management"
Senior,Full-time,"Analytics Engineer",130000,"United States",Remote,"United States",M,"Leadership and Management"
Mid-level,Full-time,"Data Integration Specialist",93750,"United Kingdom",Remote,"United Kingdom",M,"Data Management and Strategy"
Mid-level,Full-time,"Data Integration Specialist",68750,"United Kingdom",Remote,"United Kingdom",M,"Data Management and Strategy"
Senior,Full-time,"Machine Learning Engineer",184800,Canada,Remote,Canada,M,"Machine Learning and AI"
Senior,Full-time,"Machine Learning Engineer",123200,Canada,Remote,Canada,M,"Machine Learning and AI"
Senior,Full-time,"Data Engineer",115000,"United States",Remote,"United States",M,"Data Engineering"
Senior,Full-time,"Data Engineer",105000,"United States",Remote,"United States",M,"Data Engineering"
Mid-level,Full-time,"Data Science Manager",110000,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Science Manager",70000,"United States",In-person,"United States",M,"Data Science and Research"
Entry-level,Full-time,"Machine Learning Engineer",157900,Canada,Remote,Canada,M,"Machine Learning and AI"
Entry-level,Full-time,"Machine Learning Engineer",105300,Canada,Remote,Canada,M,"Machine Learning and AI"
Mid-level,Full-time,"Data Scientist",252000,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Scientist",168000,"United States",In-person,"United States",M,"Data Science and Research"
Executive,Full-time,"AI Engineer",225000,"United States",In-person,"United States",M,"Machine Learning and AI"
Executive,Full-time,"AI Engineer",150000,"United States",In-person,"United States",M,"Machine Learning and AI"
Mid-level,Full-time,"Data Engineer",150000,"United States",Remote,"United States",M,"Data Engineering"
Mid-level,Full-time,"Data Engineer",90000,"United States",Remote,"United States",M,"Data Engineering"
Mid-level,Full-time,"Data Analyst",150000,"United States",In-person,"United States",M,"Data Analysis"
Mid-level,Full-time,"Data Analyst",117000,"United States",In-person,"United States",M,"Data Analysis"
Mid-level,Full-time,"Research Engineer",440000,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Research Engineer",295000,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Scientist",87500,"United Kingdom",In-person,"United Kingdom",M,"Data Science and Research"
Mid-level,Full-time,"Data Scientist",62500,"United Kingdom",In-person,"United Kingdom",M,"Data Science and Research"
Mid-level,Full-time,"Data Analyst",150000,"United States",Remote,"United States",M,"Data Analysis"
Mid-level,Full-time,"Data Analyst",120000,"United States",Remote,"United States",M,"Data Analysis"
Mid-level,Full-time,"Data Engineer",148000,"United States",In-person,"United States",M,"Data Engineering"
Mid-level,Full-time,"Data Engineer",106500,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Applied Scientist",209000,Poland,Remote,Poland,M,"Data Science and Research"
Senior,Full-time,"Applied Scientist",155000,Poland,Remote,Poland,M,"Data Science and Research"
Senior,Full-time,"AI Engineer",210000,"United States",In-person,"United States",M,"Machine Learning and AI"
Senior,Full-time,"AI Engineer",180000,"United States",In-person,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Data Scientist",170000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Scientist",130000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Scientist",62500,"United Kingdom",In-person,"United Kingdom",M,"Data Science and Research"
Senior,Full-time,"Data Engineer",220000,Canada,In-person,Canada,M,"Data Engineering"
Senior,Full-time,"Data Engineer",180000,Canada,In-person,Canada,M,"Data Engineering"
Senior,Full-time,"Machine Learning Engineer",278700,"United States",In-person,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Machine Learning Engineer",159300,"United States",In-person,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Data Analyst",145000,"United States",In-person,"United States",M,"Data Analysis"
Senior,Full-time,"Data Analyst",110000,"United States",In-person,"United States",M,"Data Analysis"
Entry-level,Full-time,"Data Science",57277,France,Hybrid,France,M,"Data Science and Research"
Senior,Full-time,"BI Data Analyst",66666,Germany,Hybrid,Germany,S,"Data Analysis"
Mid-level,Full-time,"Analytics Engineer",126000,"United States",In-person,"United States",M,"Leadership and Management"
Mid-level,Full-time,"Analytics Engineer",78000,"United States",In-person,"United States",M,"Leadership and Management"
Senior,Full-time,"Research Scientist",290000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Research Scientist",240000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Machine Learning Engineer",210000,"United States",In-person,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Machine Learning Engineer",178500,"United States",In-person,"United States",M,"Machine Learning and AI"
Senior,Full-time,"AI Research Scientist",150000,"Saudi Arabia",Hybrid,"Saudi Arabia",M,"Data Science and Research"
Executive,Full-time,"Machine Learning Engineer",290000,"United States",In-person,"United States",M,"Machine Learning and AI"
Executive,Full-time,"Machine Learning Engineer",232000,"United States",In-person,"United States",M,"Machine Learning and AI"
Mid-level,Full-time,"Data Engineer",172400,"United States",In-person,"United States",M,"Data Engineering"
Mid-level,Full-time,"Data Engineer",109000,"United States",In-person,"United States",M,"Data Engineering"
Entry-level,Full-time,"Data Analyst",88800,"United States",In-person,"United States",M,"Data Analysis"
Entry-level,Full-time,"Data Analyst",64600,"United States",In-person,"United States",M,"Data Analysis"
Mid-level,Full-time,"MLOps Engineer",156200,Canada,In-person,Canada,M,"Machine Learning and AI"
Mid-level,Full-time,"MLOps Engineer",106500,Canada,In-person,Canada,M,"Machine Learning and AI"
Senior,Full-time,"Data Scientist",185900,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Scientist",109400,"United States",In-person,"United States",M,"Data Science and Research"
Entry-level,Full-time,"Research Analyst",106000,"United States",In-person,"United States",M,"Data Science and Research"
Entry-level,Full-time,"Research Analyst",66000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Machine Learning Engineer",234300,"United States",In-person,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Machine Learning Engineer",96900,"United States",In-person,"United States",M,"Machine Learning and AI"
Entry-level,Full-time,"Data Analyst",157600,"United States",In-person,"United States",M,"Data Analysis"
Entry-level,Full-time,"Data Analyst",96800,"United States",In-person,"United States",M,"Data Analysis"
Senior,Full-time,"Research Engineer",339250,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Research Engineer",180000,"United States",In-person,"United States",M,"Data Science and Research"
Entry-level,Full-time,"Admin & Data Analyst",40000,India,Remote,"United States",M,"Data Analysis"
Entry-level,Full-time,"Data Analyst",70000,"United States",In-person,"United States",M,"Data Analysis"
Entry-level,Full-time,"Data Analyst",50000,"United States",In-person,"United States",M,"Data Analysis"
Senior,Full-time,"Research Analyst",94600,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Research Analyst",77400,"United States",In-person,"United States",M,"Data Science and Research"
Entry-level,Full-time,"Data Analyst",192500,"United States",In-person,"United States",M,"Data Analysis"
Entry-level,Full-time,"Data Analyst",140000,"United States",In-person,"United States",M,"Data Analysis"
Mid-level,Full-time,"Data Scientist",154500,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Scientist",75705,"United States",In-person,"United States",M,"Data Science and Research"
Entry-level,Full-time,"Business Intelligence Analyst",95000,"United States",In-person,"United States",M,"BI and Visualization"
Entry-level,Full-time,"Business Intelligence Analyst",85000,"United States",In-person,"United States",M,"BI and Visualization"
Mid-level,Full-time,"Business Intelligence Manager",164700,"United States",In-person,"United States",M,"BI and Visualization"
Mid-level,Full-time,"Business Intelligence Manager",117500,"United States",In-person,"United States",M,"BI and Visualization"
Entry-level,Full-time,"Data Analyst",80000,"United States",In-person,"United States",M,"Data Analysis"
Entry-level,Full-time,"Data Analyst",45700,"United States",In-person,"United States",M,"Data Analysis"
Senior,Full-time,"Data Analyst",117000,"United States",In-person,"United States",M,"Data Analysis"
Senior,Full-time,"Data Analyst",115765,"United States",In-person,"United States",M,"Data Analysis"
Senior,Full-time,"Data Analyst",140000,Canada,In-person,Canada,M,"Data Analysis"
Senior,Full-time,"Data Analyst",107000,Canada,In-person,Canada,M,"Data Analysis"
Senior,Full-time,"Machine Learning Engineer",178250,"United States",Remote,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Machine Learning Engineer",105500,"United States",Remote,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Data Developer",62500,"United Kingdom",In-person,"United Kingdom",M,"Leadership and Management"
Senior,Full-time,"Prompt Engineer",197011,"United States",Remote,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Prompt Engineer",115889,"United States",Remote,"United States",M,"Machine Learning and AI"
Mid-level,Full-time,"Research Scientist",138000,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Research Scientist",86000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Engineer",259700,"United States",Remote,"United States",M,"Data Engineering"
Senior,Full-time,"Data Engineer",185500,"United States",Remote,"United States",M,"Data Engineering"
Entry-level,Full-time,"Data Analyst",80000,"United States",Remote,"United States",M,"Data Analysis"
Executive,Full-time,"Data Analyst",175000,"United States",In-person,"United States",M,"Data Analysis"
Executive,Full-time,"Data Analyst",68000,"United States",In-person,"United States",M,"Data Analysis"
Mid-level,Full-time,"Data Science",243500,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Science",201400,"United States",In-person,"United States",M,"Data Science and Research"
Entry-level,Full-time,"Data Analyst",33500,"United Kingdom",In-person,"United Kingdom",M,"Data Analysis"
Mid-level,Full-time,"Data Analyst",110000,"United States",In-person,"United States",M,"Data Analysis"
Mid-level,Full-time,"Data Analyst",90000,"United States",In-person,"United States",M,"Data Analysis"
Senior,Full-time,"Research Scientist",123765,"United States",Remote,"United States",M,"Data Science and Research"
Senior,Full-time,"Research Scientist",85469,"United States",Remote,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Analyst",85000,"United States",Remote,"United States",M,"Data Analysis"
Mid-level,Full-time,"Data Analyst",61800,"United States",Remote,"United States",M,"Data Analysis"
Mid-level,Full-time,"Data Engineer",242100,"United States",In-person,"United States",M,"Data Engineering"
Mid-level,Full-time,"Data Engineer",116200,"United States",In-person,"United States",M,"Data Engineering"
Mid-level,Full-time,"Data Manager",128000,"United States",In-person,"United States",M,"Leadership and Management"
Mid-level,Full-time,"Data Manager",81500,"United States",In-person,"United States",M,"Leadership and Management"
Senior,Full-time,"Machine Learning Engineer",250000,"United States",In-person,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Machine Learning Engineer",212500,"United States",In-person,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Data Scientist",100000,France,Remote,France,M,"Data Science and Research"
Senior,Full-time,"Data Scientist",55555,France,Remote,France,M,"Data Science and Research"
Mid-level,Full-time,"Data Specialist",69000,"United States",In-person,"United States",M,"Data Management and Strategy"
Mid-level,Full-time,"Data Specialist",44000,"United States",In-person,"United States",M,"Data Management and Strategy"
Mid-level,Full-time,"Data Analyst",77280,"United States",In-person,"United States",M,"Data Analysis"
Mid-level,Full-time,"Data Analyst",58000,"United States",In-person,"United States",M,"Data Analysis"
Entry-level,Full-time,"Business Intelligence",166000,"United States",Remote,"United States",M,"BI and Visualization"
Entry-level,Full-time,"Business Intelligence",119000,"United States",Remote,"United States",M,"BI and Visualization"
Senior,Full-time,"Machine Learning Engineer",192000,"United States",In-person,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Machine Learning Engineer",164000,"United States",In-person,"United States",M,"Machine Learning and AI"
Mid-level,Full-time,"Research Scientist",218213,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Research Scientist",151800,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Architect",149750,"United States",Remote,"United States",M,"Data Architecture and Modeling"
Senior,Full-time,"Data Architect",84500,"United States",Remote,"United States",M,"Data Architecture and Modeling"
Senior,Full-time,"Data Scientist",120000,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Integration Engineer",100000,"United States",In-person,"United States",M,"Data Engineering"
Mid-level,Full-time,"Data Integration Engineer",70000,"United States",In-person,"United States",M,"Data Engineering"
Mid-level,Full-time,"Data Engineer",200000,"United States",In-person,"United States",M,"Data Engineering"
Mid-level,Full-time,"Data Engineer",150000,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Data Scientist",253430,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Scientist",200740,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Scientist",234900,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Scientist",97300,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Machine Learning Engineer",206000,"United States",Remote,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Machine Learning Engineer",165000,"United States",Remote,"United States",M,"Machine Learning and AI"
Entry-level,Full-time,"Data Analyst",70000,"United States",Remote,"United States",M,"Data Analysis"
Entry-level,Full-time,"Data Analyst",60000,"United States",Remote,"United States",M,"Data Analysis"
Mid-level,Full-time,"Data Science Manager",328000,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Science Manager",258000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Engineer",190000,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Data Engineer",170000,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Data Engineer",111111,Poland,Remote,Poland,M,"Data Engineering"
Senior,Full-time,"Data Engineer",66666,Poland,Remote,Poland,M,"Data Engineering"
Senior,Full-time,"Data Scientist",180000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Scientist",162000,"United States",In-person,"United States",M,"Data Science and Research"
Executive,Full-time,"Business Intelligence",230000,Canada,In-person,Canada,M,"BI and Visualization"
Executive,Full-time,"Business Intelligence",155000,Canada,In-person,Canada,M,"BI and Visualization"
Entry-level,Full-time,"Data Science Analyst",70000,"United States",In-person,"United States",M,"Data Science and Research"
Entry-level,Full-time,"Data Science Analyst",64000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Analyst",165000,"United States",Remote,"United States",M,"Data Analysis"
Senior,Full-time,"Data Analytics Associate",91000,"United States",Hybrid,"United States",L,"Data Analysis"
Entry-level,Full-time,"Research Analyst",219000,"United States",In-person,"United States",M,"Data Science and Research"
Entry-level,Full-time,"Research Analyst",123000,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Scientist",212000,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Scientist",93300,"United States",In-person,"United States",M,"Data Science and Research"
Entry-level,Full-time,"BI Analyst",157600,"United States",In-person,"United States",M,"BI and Visualization"
Entry-level,Full-time,"BI Analyst",96800,"United States",In-person,"United States",M,"BI and Visualization"
Entry-level,Full-time,"Data Analyst",137100,"United States",In-person,"United States",M,"Data Analysis"
Entry-level,Full-time,"Data Analyst",109700,"United States",In-person,"United States",M,"Data Analysis"
Mid-level,Full-time,"Data Manager",83300,"United States",In-person,"United States",M,"Leadership and Management"
Mid-level,Full-time,"Data Manager",47500,"United States",In-person,"United States",M,"Leadership and Management"
Senior,Full-time,"Data Engineer",304750,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Data Engineer",160000,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Data Architect",242100,"United States",In-person,"United States",M,"Data Architecture and Modeling"
Senior,Full-time,"Data Architect",116200,"United States",In-person,"United States",M,"Data Architecture and Modeling"
Mid-level,Full-time,"Cloud Database Engineer",189000,"United States",In-person,"United States",M,"Cloud and Database"
Mid-level,Full-time,"Cloud Database Engineer",106000,"United States",In-person,"United States",M,"Cloud and Database"
Entry-level,Full-time,"Research Engineer",101200,"United States",In-person,"United States",M,"Data Science and Research"
Entry-level,Full-time,"Research Engineer",57700,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Engineer",77400,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Machine Learning Engineer",270000,"United States",In-person,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Machine Learning Engineer",153000,"United States",In-person,"United States",M,"Machine Learning and AI"
Entry-level,Full-time,"Data Reporting Analyst",90300,"United States",In-person,"United States",M,"Data Analysis"
Entry-level,Full-time,"Data Reporting Analyst",50200,"United States",In-person,"United States",M,"Data Analysis"
Entry-level,Full-time,"Data Engineer",98000,"United States",In-person,"United States",M,"Data Engineering"
Mid-level,Full-time,"Data Specialist",105000,Australia,In-person,Australia,M,"Data Management and Strategy"
Mid-level,Full-time,"Data Specialist",80000,Australia,In-person,Australia,M,"Data Management and Strategy"
Senior,Full-time,"Data Engineer",300000,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Data Engineer",200000,"United States",In-person,"United States",M,"Data Engineering"
Executive,Full-time,"Data Analyst",125000,"United States",In-person,"United States",M,"Data Analysis"
Executive,Full-time,"Data Analyst",100000,"United States",In-person,"United States",M,"Data Analysis"
Senior,Full-time,"Data Engineer",165000,"United States",In-person,"United States",M,"Data Engineering"
Mid-level,Full-time,"Data Engineer",115000,"United States",Remote,"United States",M,"Data Engineering"
Mid-level,Full-time,"Data Engineer",75000,"United States",Remote,"United States",M,"Data Engineering"
Senior,Full-time,"Research Scientist",96643,Canada,In-person,Canada,M,"Data Science and Research"
Senior,Full-time,"Research Scientist",51543,Canada,In-person,Canada,M,"Data Science and Research"
Mid-level,Full-time,"Business Intelligence Analyst",181280,"United States",In-person,"United States",M,"BI and Visualization"
Mid-level,Full-time,"Business Intelligence Analyst",164800,"United States",In-person,"United States",M,"BI and Visualization"
Mid-level,Full-time,"Data Analyst",107500,"United States",In-person,"United States",M,"Data Analysis"
Mid-level,Full-time,"Data Analyst",96750,"United States",In-person,"United States",M,"Data Analysis"
Senior,Full-time,"Data Scientist",96750,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Scientist",69600,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Scientist",150000,"United States",Remote,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Scientist",127500,"United States",Remote,"United States",M,"Data Science and Research"
Executive,Full-time,"Data Engineer",225000,"United States",In-person,"United States",M,"Data Engineering"
Executive,Full-time,"Data Engineer",190000,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Data Scientist",245000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Architect",175000,"United States",In-person,"United States",M,"Data Architecture and Modeling"
Senior,Full-time,"Data Architect",117000,"United States",In-person,"United States",M,"Data Architecture and Modeling"
Senior,Full-time,"Data Scientist",136000,"United States",Remote,"United States",M,"Data Science and Research"
Senior,Full-time,"Research Scientist",245400,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Research Scientist",139000,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Scientist",170000,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Scientist",120000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Engineer",169900,"United States",Remote,"United States",M,"Data Engineering"
Senior,Full-time,"Data Engineer",135920,"United States",Remote,"United States",M,"Data Engineering"
Senior,Full-time,"Data Scientist",160000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Science",240000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Science",204000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Scientist",185000,"United States",In-person,"United States",M,"Data Science and Research"
