experience_level,employment_type,job_title,salary_in_usd,employee_residence,work_setting,company_location,company_size,job_category
Senior,Full-time,"ML Engineer",170000,"United States",In-person,"United States",M,"Machine Learning and AI"
Mid-level,Full-time,"Data Manager",90500,"United States",In-person,"United States",M,"Leadership and Management"
Senior,Full-time,"Machine Learning Engineer",186153,Canada,In-person,Canada,M,"Machine Learning and AI"
Senior,Full-time,"Machine Learning Engineer",165384,Canada,In-person,Canada,M,"Machine Learning and AI"
Senior,Full-time,"Data Scientist",71000,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Research Engineer",280000,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Research Engineer",230000,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Machine Learning Engineer",166666,Germany,In-person,Germany,M,"Machine Learning and AI"
Mid-level,Full-time,"Machine Learning Engineer",133333,Germany,In-person,Germany,M,"Machine Learning and AI"
Mid-level,Full-time,"Data Analytics Consultant",94625,"United States",Remote,"United States",M,"Leadership and Management"
Mid-level,Full-time,"Data Analytics Consultant",57500,"United States",Remote,"United States",M,"Leadership and Management"
Mid-level,Full-time,"Data Analyst",107755,"United States",Remote,"United States",M,"Data Analysis"
Mid-level,Full-time,"Data Analyst",79645,"United States",Remote,"United States",M,"Data Analysis"
Senior,Full-time,"Machine Learning Engineer",195500,"United States",In-person,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Machine Learning Engineer",132600,"United States",In-person,"United States",M,"Machine Learning and AI"
Mid-level,Full-time,"Data Engineer",167000,"United States",In-person,"United States",M,"Data Engineering"
Mid-level,Full-time,"Data Engineer",121000,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Data Scientist",185400,"United States",Remote,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Scientist",92700,"United States",Remote,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Science",110000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Science",70000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Scientist",220800,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Scientist",124800,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Machine Learning Engineer",254400,"United States",In-person,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Machine Learning Engineer",151600,"United States",In-person,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Data Scientist",101763,Canada,In-person,Canada,M,"Data Science and Research"
Senior,Full-time,"Data Scientist",81410,Canada,In-person,Canada,M,"Data Science and Research"
Senior,Full-time,"Machine Learning Engineer",304750,"United States",In-person,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Machine Learning Engineer",160000,"United States",In-person,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Research Engineer",67993,"South Africa",In-person,"South Africa",M,"Data Science and Research"
Senior,Full-time,"Research Engineer",56981,"South Africa",In-person,"South Africa",M,"Data Science and Research"
Senior,Full-time,"Data Architect",190196,"United States",In-person,"United States",M,"Data Architecture and Modeling"
Senior,Full-time,"Data Architect",155615,"United States",In-person,"United States",M,"Data Architecture and Modeling"
Senior,Full-time,"Data Engineer",190196,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Data Engineer",155615,"United States",In-person,"United States",M,"Data Engineering"
Entry-level,Full-time,"Data Engineer",158100,"United States",In-person,"United States",M,"Data Engineering"
Entry-level,Full-time,"Data Engineer",138500,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Machine Learning Engineer",418000,"United States",Remote,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Machine Learning Engineer",141000,"United States",Remote,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Analytics Engineer",147000,"United States",Remote,"United States",M,"Leadership and Management"
Senior,Full-time,"Analytics Engineer",92000,"United States",Remote,"United States",M,"Leadership and Management"
Mid-level,Full-time,"Data Engineer",154000,"United States",In-person,"United States",M,"Data Engineering"
Mid-level,Full-time,"Data Engineer",102000,"United States",In-person,"United States",M,"Data Engineering"
Mid-level,Full-time,"Data Scientist",158500,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Scientist",105646,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Manager",34973,"South Africa",In-person,"South Africa",M,"Leadership and Management"
Mid-level,Full-time,"Data Manager",32177,"South Africa",In-person,"South Africa",M,"Leadership and Management"
Senior,Full-time,"ML Engineer",251000,"United States",In-person,"United States",M,"Machine Learning and AI"
Senior,Full-time,"ML Engineer",157000,"United States",In-person,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Machine Learning Engineer",300000,"United States",In-person,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Machine Learning Engineer",235000,"United States",In-person,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Machine Learning Engineer",240000,"United States",In-person,"United States",M,"Machine Learning and AI"
Entry-level,Full-time,"Data Analyst",95000,"United States",Remote,"United States",M,"Data Analysis"
Mid-level,Full-time,"Data Scientist",68400,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Engineer",175000,"United States",In-person,"United States",M,"Data Engineering"
Mid-level,Full-time,"Data Engineer",152000,"United States",In-person,"United States",M,"Data Engineering"
Mid-level,Full-time,"Business Intelligence Engineer",186846,"United States",In-person,"United States",M,"BI and Visualization"
Mid-level,Full-time,"Data Engineer",153000,"United States",In-person,"United States",M,"Data Engineering"
Mid-level,Full-time,"Data Engineer",106800,"United States",In-person,"United States",M,"Data Engineering"
Mid-level,Full-time,"Machine Learning Engineer",80000,Australia,Hybrid,Australia,L,"Machine Learning and AI"
Senior,Full-time,"Data Science Engineer",110000,Ukraine,In-person,Ukraine,M,"Data Science and Research"
Senior,Full-time,"Data Science Engineer",60000,Ukraine,In-person,Ukraine,M,"Data Science and Research"
Entry-level,Full-time,"Data Analyst",86600,"United States",In-person,"United States",M,"Data Analysis"
Entry-level,Full-time,"Data Analyst",57700,"United States",In-person,"United States",M,"Data Analysis"
Senior,Full-time,"Data Analyst",134200,"United States",Remote,"United States",M,"Data Analysis"
Senior,Full-time,"Data Analyst",94800,"United States",Remote,"United States",M,"Data Analysis"
Senior,Full-time,"Analytics Engineer",329200,Canada,Remote,Canada,M,"Leadership and Management"
Senior,Full-time,"Analytics Engineer",259900,Canada,Remote,Canada,M,"Leadership and Management"
